Alcanna Inc. | CLIQ | Volume: 52304 | Value: 9.28 | Open: 9.70 | High: 9.70 | SharesOut.: 37047306 | Beta: 0.382 | Prev.Close: 9.50 | Low: 9.26 | MarketCap: 343799000 | VWAP: 9.386152 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.990000 | Yield: 3.879 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.202 | Exchange: TSX | 
Evolve Automobile Innovation Index ETF | CARS | Volume: 440 | Value: 21.08 | Open: 21.08 | High: 21.08 | SharesOut.: 250000 | Beta: 0.954 | Prev.Close: 20.80 | Low: 21.08 | MarketCap: 5270000 | VWAP: 21.08 | Dividend: 0.011CAD | Div.Frequency: Monthly | P/ERatio: 19.800 | EPS: N/A | Yield: 0.620 | Ex-DivDate: 06/21/2018 | P/BRatio: 2.860 | Exchange: TSX | 
Evolve Cyber Security Index ETF | CYBR | Volume: 4848 | Value: 24.45 | Open: 25.00 | High: 25.00 | SharesOut.: 625000 | Beta: -0.025 | Prev.Close: 24.82 | Low: 24.44 | MarketCap: 15281250 | VWAP: 24.768043 | Dividend: 0.005CAD | Div.Frequency: Monthly | P/ERatio: 27.500 | EPS: N/A | Yield: 0.245 | Ex-DivDate: 06/21/2018 | P/BRatio: 6.110 | Exchange: TSX | 
Evolve US Banks Enhanced Yield ETF | CALL | Volume: 0 | Value: 20.80 | Open: N/A | High: N/A | SharesOut.: 275000 | Beta: 0.152 | Prev.Close: 20.80 | Low: N/A | MarketCap: 5720000 | VWAP: N/A | Dividend: 0.075CAD | Div.Frequency: Monthly | P/ERatio: 15.300 | EPS: N/A | Yield: 4.327 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.570 | Exchange: TSX | 
Exemplar Investment Grade Fund | CORP | Volume: 0 | Value: 20.12 | Open: N/A | High: N/A | SharesOut.: 225000 | Beta: 0.095 | Prev.Close: 20.12 | Low: N/A | MarketCap: 4527000 | VWAP: N/A | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.990 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Canadian Convertible Bond ETF | CXF | Volume: 135 | Value: 9.89 | Open: 9.89 | High: 9.89 | SharesOut.: 1999982 | Beta: 0.447 | Prev.Close: 9.96 | Low: 9.89 | MarketCap: 19779822 | VWAP: 9.89 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.853 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset CanBanc Income Class ETF | CIC | Volume: 3602 | Value: 11.88 | Open: 11.92 | High: 11.92 | SharesOut.: 13221193 | Beta: 0.812 | Prev.Close: 11.89 | Low: 11.88 | MarketCap: 157067773 | VWAP: 11.8875 | Dividend: 0.175CAD | Div.Frequency: Quarterly | P/ERatio: 12.100 | EPS: -0.100000 | Yield: 5.892 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.840 | Exchange: TSX | 
First Asset Core Canadian Equity ETF | CED | Volume: 0 | Value: 22.20 | Open: N/A | High: N/A | SharesOut.: 599999 | Beta: 1.013 | Prev.Close: 22.20 | Low: N/A | MarketCap: 13319978 | VWAP: N/A | Dividend: 0.117CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: N/A | Yield: 2.039 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.800 | Exchange: TSX | 
First Asset Core Canadian Equity Income Class ETF | CSY | Volume: 0 | Value: 21.37 | Open: N/A | High: N/A | SharesOut.: 1046954 | Beta: 0.956 | Prev.Close: 21.37 | Low: N/A | MarketCap: 22373407 | VWAP: N/A | Dividend: 0.270CAD | Div.Frequency: Quarterly | P/ERatio: 13.700 | EPS: N/A | Yield: 4.908 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.750 | Exchange: TSX | 
First Asset Core U.S. Equity ETF | CES | Volume: 0 | Value: 24.29 | Open: N/A | High: N/A | SharesOut.: 229983 | Beta: 0.757 | Prev.Close: 24.29 | Low: N/A | MarketCap: 5586287 | VWAP: N/A | Dividend: 0.059CAD | Div.Frequency: Quarterly | P/ERatio: 15.200 | EPS: N/A | Yield: 0.992 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.370 | Exchange: TSX | 
Horizons Canadian Dollar Currency ETF | CAN | Volume: 0 | Value: 9.68 | Open: N/A | High: N/A | SharesOut.: 775001 | Beta: -0.064 | Prev.Close: 9.68 | Low: N/A | MarketCap: 7502010 | VWAP: N/A | Dividend: 0.210CAD | Div.Frequency: Unspecified | P/ERatio: N/A | EPS: N/A | Yield: 2.165 | Ex-DivDate: 12/29/2017 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-10 Year Laddered Corporate Bond Index ETF | CBH | Volume: 6740 | Value: 18.65 | Open: 18.63 | High: 18.65 | SharesOut.: 13500000 | Beta: 0.037 | Prev.Close: 18.63 | Low: 18.62 | MarketCap: 251775000 | VWAP: 18.644242 | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.200000 | Yield: 3.721 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-10 Year Laddered Government Bond Index ETF | CLG | Volume: 3422 | Value: 18.33 | Open: 18.35 | High: 18.35 | SharesOut.: 14350000 | Beta: 0.005 | Prev.Close: 18.32 | Low: 18.33 | MarketCap: 263035500 | VWAP: 18.337879 | Dividend: 0.047CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.030000 | Yield: 3.115 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-5 Year Laddered Corporate Bond Index ETF | CBO | Volume: 23341 | Value: 18.39 | Open: 18.37 | High: 18.40 | SharesOut.: 74000000 | Beta: 0.060 | Prev.Close: 18.37 | Low: 18.37 | MarketCap: 1360860000 | VWAP: 18.374439 | Dividend: 0.041CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.480000 | Yield: 2.717 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-5 Year Laddered Government Bond Index ETF | CLF | Volume: 30989 | Value: 17.84 | Open: 17.83 | High: 17.84 | SharesOut.: 40200000 | Beta: -0.002 | Prev.Close: 17.82 | Low: 17.82 | MarketCap: 717168000 | VWAP: 17.829885 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.210000 | Yield: 2.736 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Balanced Growth CorePortfolio Index ETF | CBN | Volume: 56 | Value: 21.28 | Open: 0.00 | High: 0.00 | SharesOut.: 2225000 | Beta: 0.666 | Prev.Close: 21.28 | Low: 0.00 | MarketCap: 47348000 | VWAP: N/A | Dividend: 0.034CAD | Div.Frequency: Monthly | P/ERatio: 14.100 | EPS: 1.470000 | Yield: 2.105 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.640 | Exchange: TSX | 
iShares Balanced Income CorePortfolio Index ETF | CBD | Volume: 7576 | Value: 22.00 | Open: 22.02 | High: 22.02 | SharesOut.: 2925000 | Beta: 0.427 | Prev.Close: 21.96 | Low: 22.00 | MarketCap: 64350000 | VWAP: 22.018933 | Dividend: 0.059CAD | Div.Frequency: Monthly | P/ERatio: 13.300 | EPS: 0.930000 | Yield: 3.123 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.710 | Exchange: TSX | 
iShares Convertible Bond Index ETF | CVD | Volume: 9224 | Value: 18.50 | Open: 18.67 | High: 18.67 | SharesOut.: 6700000 | Beta: 0.256 | Prev.Close: 18.57 | Low: 18.45 | MarketCap: 123950000 | VWAP: 18.606966 | Dividend: 0.072CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.708 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Equal Weight Banc & Lifeco ETF | CEW | Volume: 10520 | Value: 12.58 | Open: 12.60 | High: 12.61 | SharesOut.: 14000000 | Beta: 1.003 | Prev.Close: 12.60 | Low: 12.58 | MarketCap: 176120000 | VWAP: 12.600485 | Dividend: 0.027CAD | Div.Frequency: Monthly | P/ERatio: 12.900 | EPS: 1.760000 | Yield: 2.729 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.560 | Exchange: TSX | 
iShares Global Agriculture Index ETF | COW | Volume: 583 | Value: 40.39 | Open: 40.40 | High: 40.40 | SharesOut.: 6200000 | Beta: 0.532 | Prev.Close: 40.68 | Low: 40.39 | MarketCap: 250418000 | VWAP: 40.398 | Dividend: 0.260CAD | Div.Frequency: Annual | P/ERatio: 20.300 | EPS: 4.030000 | Yield: 0.644 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.620 | Exchange: TSX | 
iShares Global Infrastructure Index ETF | CIF | Volume: 1150 | Value: 24.18 | Open: 24.43 | High: 24.43 | SharesOut.: 2525000 | Beta: 0.705 | Prev.Close: 24.27 | Low: 24.12 | MarketCap: 61054500 | VWAP: 24.176 | Dividend: 0.153CAD | Div.Frequency: Quarterly | P/ERatio: 13.900 | EPS: 2.770000 | Yield: 2.669 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.670 | Exchange: TSX | 
iShares Global Monthly Dividend Index ETF (CAD-Hedged) | CYH | Volume: 4910 | Value: 19.72 | Open: 19.84 | High: 19.89 | SharesOut.: 9200000 | Beta: 0.704 | Prev.Close: 19.79 | Low: 19.72 | MarketCap: 181424000 | VWAP: 19.837447 | Dividend: 0.051CAD | Div.Frequency: Monthly | P/ERatio: 13.700 | EPS: N/A | Yield: 3.164 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.800 | Exchange: TSX | 
iShares Global Real Estate Index ETF | CGR | Volume: 1043 | Value: 28.86 | Open: 29.00 | High: 29.00 | SharesOut.: 4250000 | Beta: 0.188 | Prev.Close: 28.97 | Low: 28.86 | MarketCap: 122655000 | VWAP: 28.968889 | Dividend: 0.272CAD | Div.Frequency: Quarterly | P/ERatio: 15.100 | EPS: 2.25 | Yield: 4.220 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.540 | Exchange: TSX | 
iShares Global Water Index ETF | CWW | Volume: 1841 | Value: 33.69 | Open: 33.77 | High: 33.83 | SharesOut.: 4025000 | Beta: 0.516 | Prev.Close: 33.83 | Low: 33.62 | MarketCap: 135602250 | VWAP: 33.712857 | Dividend: 0.250CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: 3.110000 | Yield: 1.330 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.510 | Exchange: TSX | 
iShares Gold Bullion ETF | CGL | Volume: 21662 | Value: 10.72 | Open: 10.80 | High: 10.80 | SharesOut.: 30000000 | Beta: 0.209 | Prev.Close: 10.78 | Low: 10.71 | MarketCap: 321600000 | VWAP: 10.743915 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -3.560000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
iShares Premium Money Market ETF | CMR | Volume: 2657 | Value: 50.01 | Open: 50.01 | High: 50.01 | SharesOut.: 2550000 | Beta: 0.002 | Prev.Close: 50.01 | Low: 50.005 | MarketCap: 127525500 | VWAP: 50.0092 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.410000 | Yield: 0.944 | Ex-DivDate: 06/26/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares S&P/TSX Canadian Dividend Aristocrats Index ETF | CDZ | Volume: 27841 | Value: 25.885 | Open: 26.05 | High: 26.05 | SharesOut.: 37350000 | Beta: 0.902 | Prev.Close: 26.14 | Low: 25.885 | MarketCap: 966804750 | VWAP: 25.957387 | Dividend: 0.094CAD | Div.Frequency: Monthly | P/ERatio: 12.300 | EPS: 1.770000 | Yield: 3.790 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.670 | Exchange: TSX | 
iShares S&P/TSX Canadian Preferred Share Index ETF | CPD | Volume: 54999 | Value: 14.08 | Open: 14.11 | High: 14.12 | SharesOut.: 108900000 | Beta: 0.604 | Prev.Close: 14.08 | Low: 14.06 | MarketCap: 1533312000 | VWAP: 14.081774 | Dividend: 0.049CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.300000 | Yield: 4.304 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Short Duration High Income ETF (CAD-Hedged) | CSD | Volume: 2931 | Value: 17.61 | Open: 17.65 | High: 17.68 | SharesOut.: 7125000 | Beta: 0.276 | Prev.Close: 17.63 | Low: 17.61 | MarketCap: 125471250 | VWAP: 17.648889 | Dividend: 0.077CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.185 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged) | CHB | Volume: 6120 | Value: 18.43 | Open: 18.51 | High: 18.51 | SharesOut.: 8300000 | Beta: 0.484 | Prev.Close: 18.48 | Low: 18.40 | MarketCap: 152969000 | VWAP: 18.475424 | Dividend: 0.089CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.822 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares US Dividend Growers Index ETF (CAD-Hedged) | CUD | Volume: 2654 | Value: 40.18 | Open: 40.41 | High: 40.43 | SharesOut.: 14000000 | Beta: 0.722 | Prev.Close: 40.39 | Low: 40.18 | MarketCap: 562520000 | VWAP: 40.362800 | Dividend: 0.065CAD | Div.Frequency: Monthly | P/ERatio: 20.200 | EPS: 4.560000 | Yield: 1.704 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.720 | Exchange: TSX | 
June 2020 Corporate Bond Trust | CBT.UN | Volume: 0 | Value: 9.54 | Open: N/A | High: N/A | SharesOut.: 1908530 | Beta: 0.174 | Prev.Close: 9.54 | Low: N/A | MarketCap: 18207376 | VWAP: N/A | Dividend: 0.088CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 3.669 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Sprott Physical Gold and Silver Trust | CEF | Volume: 4006 | Value: 16.80 | Open: 16.86 | High: 16.87 | SharesOut.: 252116003 | Beta: -0.075 | Prev.Close: 16.86 | Low: 16.76 | MarketCap: 4235548850 | VWAP: 16.813158 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.065 | Exchange: TSX | 
WisdomTree Yield Enhanced Canada Aggregate Bond Index ETF | CAGG | Volume: 255 | Value: 48.74 | Open: 48.74 | High: 48.74 | SharesOut.: 1413163 | Beta: 0.149 | Prev.Close: 48.70 | Low: 48.74 | MarketCap: 68877565 | VWAP: 48.74 | Dividend: 0.125CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.053 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
WisdomTree Yield Enhanced Canada Short-Term Aggregate Bond Index ETF | CAGS | Volume: 0 | Value: 48.89 | Open: N/A | High: N/A | SharesOut.: 1800000 | Beta: 0.038 | Prev.Close: 48.89 | Low: N/A | MarketCap: 88002000 | VWAP: N/A | Dividend: 0.107CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.592 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
